date,max_temp,min_temp,avg_temp
2026-01-14,5.5,-5.4,0.04999999999999982
2026-01-15,-6.4,-13.1,-9.75
2026-01-16,0.5,-13.3,-6.4
2026-01-17,2.3,-6.0,-1.85
2026-01-18,-4.9,-9.0,-6.95
2026-01-19,-4.7,-9.7,-7.199999999999999
2026-01-20,-8.7,-13.2,-10.95
2026-01-21,-1.1,-9.5,-5.3
