date,max_temp,min_temp,avg_temp
2026-01-14,13.1,9.1,11.1
2026-01-15,13.6,8.6,11.1
2026-01-16,11.9,8.5,10.2
2026-01-17,11.8,7.5,9.65
2026-01-18,9.9,5.0,7.45
2026-01-19,10.7,2.3,6.5
2026-01-20,9.2,6.1,7.6499999999999995
2026-01-21,13.7,8.1,10.899999999999999
